material,size,shape,Zeta,Synthesis_method,reductant,Syn_time,Syn_temperature,pH,precursor_C,extractant,coating,cell_type,cell_line,Exposure_C,Exposure_time,Via_test,viability
Ag,65.8,mixture,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,750,24,NRU,27.61
Ag,65.8,mixture,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,1000,24,NRU,35.71
Ag,45.4,mixture,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,6.25,24,NRU,99.18
Ag,45.4,mixture,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,12.5,24,NRU,99.03
Ag,45.4,mixture,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,25,24,NRU,99.18
Ag,45.4,mixture,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,50,24,NRU,16.51
Ag,45.4,mixture,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,100,24,NRU,13.77
Ag,45.4,mixture,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,250,24,NRU,17.66
Ag,45.4,mixture,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,500,24,NRU,32.64
Ag,45.4,mixture,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,750,24,NRU,27.6
Ag,45.4,mixture,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,1000,24,NRU,27.74
Ag,66,sphere,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,6.25,24,NRU,103.4
Ag,66,sphere,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,12.5,24,NRU,98.7
Ag,66,sphere,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,25,24,NRU,95.43
Ag,66,sphere,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,50,24,NRU,32.5
Ag,66,sphere,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,100,24,NRU,16.13
Ag,66,sphere,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,250,24,NRU,24.53
Ag,66,sphere,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,500,24,NRU,30.51
Ag,66,sphere,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,750,24,NRU,41.61
Ag,66,sphere,,biological,extract,180,60,9,1,water,phytochemicals,Immortalized,HaCaT,1000,24,NRU,30.06
Ag,20.4,sphere,,chemical,Purchased,,,,,0,0,primary,HFF,4.8,24,MTT,50
Ag,30.6,sphere,,chemical,Purchased,,,,,0,0,primary,HFF,4.4,24,MTT,50
Ag,10,sphere,-31,chemical,sodium citrate,,25,,1,0,tannic acid,Immortalized,HaCaT,18.51,24,JC-1,50
Ag,25,sphere,-58,chemical,sodium citrate,15,100,,1,0,tannic acid,Immortalized,HaCaT,19.71,24,JC-1,50
Ag,34,sphere,-56,chemical,sodium citrate,15,100,,0.942,0,tannic acid,Immortalized,HaCaT,18.72,24,JC-1,50
Ag,21,sphere,-64,chemical,sodium citrate,15,100,,0.3,0,0,Immortalized,HaCaT,26.31,24,JC-1,50
Ag,25,sphere,,biological,extract,5760,37,,1,ethanol?,flavonoids,Immortalized,HaCaT,5,24,MTT,99.1
Ag,25,sphere,,biological,extract,5760,37,,1,ethanol?,flavonoids,Immortalized,HaCaT,10,24,MTT,97.9
Ag,25,sphere,,biological,extract,5760,37,,1,ethanol?,flavonoids,Immortalized,HaCaT,50,24,MTT,97.2
Ag,25,sphere,,biological,extract,5760,37,,1,ethanol?,flavonoids,Immortalized,HaCaT,100,24,MTT,95.6
Ag,25,sphere,,biological,extract,5760,37,,1,ethanol?,flavonoids,Immortalized,HaCaT,250,24,MTT,92.7
Ag,20.88,sphere,50.63,chemical,sodium borohydride,100,0,,1,0,polysaccharide,primary,HSF,29.63,24,MTT,50
Ag,2.9,sphere,,chemical,surfactant,70,60,,0.1,0,cationic surfactant,primary,HSF,51.3,24,MTT,50
Ag,2.4,sphere,,chemical,surfactant,70,60,,0.1,0,cationic surfactant,primary,HSF,45.9,24,MTT,50
Ag,2.2,sphere,,chemical,surfactant,70,60,,0.1,0,cationic surfactant,primary,HSF,42.5,24,MTT,50
Ag,2,sphere,,chemical,surfactant,70,60,,0.1,0,cationic surfactant,primary,HSF,37.4,24,MTT,50
Ag,1.7,sphere,,chemical,surfactant,70,60,,0.1,0,cationic surfactant,primary,HSF,36.6,24,MTT,50
Ag,1.5,sphere,,chemical,surfactant,70,60,,0.1,0,cationic surfactant,primary,HSF,35.6,24,MTT,50
Ag,10.43,sphere,-22,chemical,sodium borohydride,,,,,0,0,primary,HDF,0.05,24,MTT,94.6
Ag,10.43,sphere,-22,chemical,sodium borohydride,,,,,0,0,primary,HDF,0.1,24,MTT,94
Ag,10.43,sphere,-22,chemical,sodium borohydride,,,,,0,0,primary,HDF,0.5,24,MTT,93.8
Ag,10.43,sphere,-22,chemical,sodium borohydride,,,,,0,0,primary,HDF,1,24,MTT,94.4
Ag,10.43,sphere,-22,chemical,sodium borohydride,,,,,0,0,primary,HDF,10,24,MTT,100.1
Ag,10.43,sphere,-22,chemical,sodium borohydride,,,,,0,0,primary,HDF,25,24,MTT,103.3
Ag,10.43,sphere,-22,chemical,sodium borohydride,,,,,0,0,primary,NHEK,0.05,24,MTT,91.3
Ag,10.43,sphere,-22,chemical,sodium borohydride,,,,,0,0,primary,NHEK,0.1,24,MTT,97
Ag,10.43,sphere,-22,chemical,sodium borohydride,,,,,0,0,primary,NHEK,0.5,24,MTT,72.7
Ag,10.43,sphere,-22,chemical,sodium borohydride,,,,,0,0,primary,NHEK,1,24,MTT,92.7
Ag,10.43,sphere,-22,chemical,sodium borohydride,,,,,0,0,primary,NHEK,10,24,MTT,86.7
Ag,10.43,sphere,-22,chemical,sodium borohydride,,,,,0,0,primary,NHEK,25,24,MTT,74.1
Ag,5.5,mixture,,chemical,Purchased,,,,,0,0,primary,HDF,3.36,24,MTT,61.2
Ag,5.5,mixture,,chemical,Purchased,,,,,0,0,primary,HDF,3.36,24,MTT,61.2
Ag,5.5,mixture,,chemical,Purchased,,,,,0,0,primary,HDF,3.36,24,MTT,61.2
Ag,5.5,mixture,,chemical,Purchased,,,,,0,0,primary,HDF,3.36,24,MTT,61.2
Ag,5.5,mixture,,chemical,Purchased,,,,,0,0,primary,HDF,3.36,24,MTT,61.2
Ag,5.5,mixture,,chemical,Purchased,,,,,0,0,primary,HDF,3.36,24,LDH,6.8
Ag,5.5,mixture,,chemical,Purchased,,,,,0,0,primary,HDF,3.36,24,LDH,6.8
